dt,desde,hasta,pj,pg,pe,pp,gf,gc,dif
Carlos Fanta,1916-07-02,1916-07-14,5,0,1,4,3,16,-13
Julián Bértola,1917-09-30,1917-10-12,3,0,0,3,0,10,-10
Héctor Parra,1919-05-11,1919-05-22,3,0,0,3,1,12,-11
Juan Carlos Bertone,1920-09-11,1922-10-22,8,0,2,6,3,15,-12
Carlos Acuña,1924-10-19,1924-11-01,3,0,0,3,1,10,-9
Giuseppe Rosetti,1926-10-12,1926-11-03,4,2,1,1,14,6,8
Frank Powell,1928-05-27,1928-06-08,3,1,1,1,7,7,0
Orth György,1930-07-16,1930-07-22,3,2,0,1,5,3,2
Joaquín Morales (dirigente),1935-01-06,1935-01-26,3,0,0,3,2,7,-5
Pedro Mazullo,1936-12-30,1939-02-26,10,3,1,6,24,27,-3
Garay Miksa,1941-02-02,1941-03-04,4,2,0,2,6,3,3
Plattkó Ferenc,1942-01-10,1945-02-28,12,5,2,5,19,20,-1
Luis Tirado,1946-01-16,1949-05-08,19,8,2,9,32,38,-6
/ Plattkó Ferenc y Waldo Sanhueza,1950-02-26,1950-04-09,4,2,0,2,8,8,0
Alberto Buccicardi,1950-06-25,1950-07-02,3,1,0,2,5,6,-1
Luis Tirado,1952-03-16,1953-05-24,12,7,1,4,26,18,8
Plattkó Ferenc,1953-07-12,1953-07-28,3,1,0,2,3,8,-5
Luis Tirado,1954-02-14,1954-03-14,4,0,0,4,1,10,-9
Grupo de dirigentes,1954-09-17,1954-09-19,2,1,0,1,4,5,-1
Luis Tirado,1955-02-27,1956-03-17,17,6,3,8,37,30,7
José Salerno,1956-08-26,1957-04-01,7,2,1,4,12,17,-5
Pákozdi László,1957-09-15,1957-10-20,6,2,1,3,4,11,-7
Fernando Riera,1959-03-07,1962-06-16,34,11,4,19,51,76,-25
Luis Álamos,1962-11-07,1963-03-23,3,0,1,2,3,5,-2
Francisco Hormazábal,1963-07-24,1965-08-22,13,4,6,3,20,17,3
Luis Álamos,1965-10-12,1966-07-20,13,3,2,8,11,19,-8
Alejandro Scopelli,1966-11-30,1967-12-16,12,5,3,4,22,19,3
Salvador Nocetti,1968-08-18,1969-08-10,18,7,6,5,23,23,0
Francisco Hormazábal,1970-03-22,1970-03-26,2,0,0,2,1,7,-6
Fernando Riera,1970-10-04,1970-10-04,1,0,0,1,1,5,-4
Luis Vera y Raúl Pino,1971-07-14,1971-11-03,9,4,1,4,15,14,1
Raúl Pino,1972-01-26,1972-02-09,2,0,0,2,0,3,-3
Rudolf Gutendorf,1972-05-31,1972-09-27,7,3,0,4,10,15,-5
Luis Álamos,1973-04-14,1974-06-22,17,7,6,4,23,16,7
Pedro Morales,1974-11-06,1975-08-20,9,2,2,5,10,13,-3
Caupolicán Peña,1976-10-06,1977-03-26,9,3,2,4,9,10,-1
Luis Santibáñez,1977-06-15,1982-06-24,37,14,10,13,46,38,8
Luis Ibarra,1983-04-28,1983-09-21,15,7,4,4,26,16,10
Isaac Carrasco,1984-06-17,1984-06-17,1,0,1,0,0,0,0
Vicente Cantatore,1984-10-28,1984-10-28,1,1,0,0,1,0,1
Pedro Morales,1985-02-06,1985-11-17,19,8,6,5,27,22,5
Luis Ibarra,1986-05-07,1986-05-07,1,0,1,0,1,1,0
Orlando Aravena,1987-06-19,1987-07-12,7,5,0,2,13,6,7
Manuel Rodríguez,1987-12-09,1987-12-09,1,0,0,1,1,2,-1
Orlando Aravena,1988-05-23,1989-09-03,34,14,9,11,42,32,10
Arturo Salah,1990-10-17,1993-06-24,23,9,6,8,30,23,7
Nelson Acosta,1993-09-08,1993-09-08,1,0,0,1,0,2,-2
Mirko Jozić,1994-03-22,1994-11-16,8,3,2,3,13,14,-1
Xabier Azkargorta,1995-03-29,1996-06-02,18,9,5,4,28,23,5
Nelson Acosta,1996-07-06,2000-11-15,65,23,17,25,100,81,19
Pedro García,2001-03-21,2001-09-04,12,3,1,8,11,19,-8
Jorge Garcés,2001-10-07,2001-11-14,3,0,1,2,1,5,-4
César Vaccia,2002-04-17,2002-04-17,1,0,0,1,0,2,-2
Juvenal Olmos,2003-03-30,2005-03-30,25,7,9,9,24,25,-1
Nelson Acosta,2005-06-04,2007-07-07,28,13,8,7,35,38,-3
Marcelo Bielsa,2007-09-07,2011-01-23,51,28,8,15,69,49,20
Claudio Borghi,2011-03-26,2012-11-14,27,11,5,11,40,40,0
Jorge Sampaoli,2013-01-15,2015-11-17,44,27,9,8,89,44,45
Juan Antonio Pizzi,2016-03-24,2017-10-10,32,13,7,12,48,36,12
Reinaldo Rueda,2018-03-24,2020-11-17,27,9,8,10,35,35,0
Martín Lasarte,2021-03-26,2022-03-29,22,7,6,9,21,28,-7
Eduardo Berizzo,2022-06-06,2023-11-16,16,4,6,6,16,17,-1
Nicolás Córdova,2023-11-21,2023-11-21,1,0,0,1,0,1,-1
Ricardo Gareca,2024-03-22,2024-06-25,5,2,1,2,8,4,4
