num_game,date,city,team_home,goals_home,team_away,goals_away,competition
1,1910-05-27,Buenos Aires,Argentina,3,Chile,1,Partido amistoso
2,1910-05-29,Buenos Aires,Uruguay,3,Chile,0,Copa Centenario Revolución de Mayo
3,1910-06-05,Buenos Aires,Argentina,5,Chile,1,Copa Centenario Revolución de Mayo
4,1910-09-11,Viña del Mar,Chile,0,Argentina,3,Partido amistoso
5,1916-07-02,Buenos Aires,Uruguay,4,Chile,0,Campeonato Sudamericano 1916
6,1916-07-06,Buenos Aires,Argentina,6,Chile,1,Campeonato Sudamericano 1916
7,1916-07-08,Buenos Aires,Chile,1,Brasil,1,Campeonato Sudamericano 1916
8,1916-07-12,Buenos Aires,Argentina,1,Chile,0,Partido amistoso
9,1916-07-14,Montevideo,Uruguay,4,Chile,1,Partido amistoso
10,1917-09-30,Montevideo,Uruguay,4,Chile,0,Campeonato Sudamericano 1917
11,1917-10-06,Montevideo,Argentina,1,Chile,0,Campeonato Sudamericano 1917
12,1917-10-12,Montevideo,Brasil,5,Chile,0,Campeonato Sudamericano 1917
13,1917-10-21,Buenos Aires,Argentina,1,Chile,1,Partido amistoso
14,1919-05-11,Río de Janeiro,Brasil,6,Chile,0,Campeonato Sudamericano 1919
15,1919-05-17,Río de Janeiro,Uruguay,2,Chile,0,Campeonato Sudamericano 1919
16,1919-05-22,Río de Janeiro,Argentina,4,Chile,1,Campeonato Sudamericano 1919
17,1920-09-11,Viña del Mar,Chile,0,Brasil,1,Campeonato Sudamericano 1920
18,1920-09-20,Viña del Mar,Chile,1,Argentina,1,Campeonato Sudamericano 1920
19,1920-09-26,Viña del Mar,Chile,1,Uruguay,2,Campeonato Sudamericano 1920
20,1922-09-17,Río de Janeiro,Brasil,1,Chile,1,Campeonato Sudamericano 1922
21,1922-09-23,Río de Janeiro,Uruguay,2,Chile,0,Campeonato Sudamericano 1922
22,1922-09-28,Río de Janeiro,Argentina,4,Chile,0,Campeonato Sudamericano 1922
23,1922-10-05,Río de Janeiro,Paraguay,3,Chile,0,Campeonato Sudamericano 1922
24,1922-10-22,Buenos Aires,Argentina,1,Chile,0,Partido amistoso
25,1924-10-19,Montevideo,Uruguay,5,Chile,0,Campeonato Sudamericano 1924
26,1924-10-25,Montevideo,Argentina,2,Chile,0,Campeonato Sudamericano 1924
27,1924-11-01,Montevideo,Paraguay,3,Chile,1,Campeonato Sudamericano 1924
28,1926-10-12,Santiago,Chile,7,Bolivia,1,Campeonato Sudamericano 1926
29,1926-10-17,Santiago,Chile,1,Uruguay,3,Campeonato Sudamericano 1926
30,1926-10-31,Santiago,Chile,1,Argentina,1,Campeonato Sudamericano 1926
31,1926-11-03,Santiago,Chile,5,Paraguay,1,Campeonato Sudamericano 1926
32,1927-12-10,Viña del Mar,Chile,2,Uruguay,3,Partido amistoso
33,1928-05-27,Ámsterdam,Portugal,4,Chile,2,Juegos Olímpicos 1928
34,1928-06-05,Arnhem,Chile,3,México,1,Juegos Olímpicos 1928
35,1928-06-08,Róterdam,Países Bajos,2,Chile,2,Juegos Olímpicos 1928
36,1930-07-16,Montevideo,Chile,3,México,0,Copa del Mundo Uruguay 1930
37,1930-07-19,Montevideo,Chile,1,Francia,0,Copa del Mundo Uruguay 1930
38,1930-07-22,Montevideo,Argentina,3,Chile,1,Copa del Mundo Uruguay 1930
39,1935-01-06,Lima,Argentina,4,Chile,1,Campeonato Sudamericano 1935
40,1935-01-18,Lima,Uruguay,2,Chile,1,Campeonato Sudamericano 1935
41,1935-01-26,Lima,Perú,1,Chile,0,Campeonato Sudamericano 1935
42,1936-12-30,Buenos Aires,Argentina,2,Chile,1,Campeonato Sudamericano 1937
43,1937-01-03,Buenos Aires,Brasil,6,Chile,4,Campeonato Sudamericano 1937
44,1937-01-10,Buenos Aires,Chile,3,Uruguay,0,Campeonato Sudamericano 1937
45,1937-01-17,Buenos Aires,Paraguay,3,Chile,2,Campeonato Sudamericano 1937
46,1937-01-21,Buenos Aires,Perú,2,Chile,2,Campeonato Sudamericano 1937
47,1939-01-15,Lima,Paraguay,5,Chile,1,Campeonato Sudamericano 1939
48,1939-01-22,Lima,Perú,3,Chile,1,Campeonato Sudamericano 1939
49,1939-01-29,Lima,Uruguay,3,Chile,2,Campeonato Sudamericano 1939
50,1939-02-05,Lima,Chile,4,Ecuador,1,Campeonato Sudamericano 1939
51,1939-02-26,Santiago,Chile,4,Paraguay,2,Partido amistoso
52,1941-02-02,Santiago,Chile,5,Ecuador,0,Campeonato Sudamericano 1941
53,1941-02-09,Santiago,Chile,1,Perú,0,Campeonato Sudamericano 1941
54,1941-02-16,Santiago,Chile,0,Uruguay,2,Campeonato Sudamericano 1941
55,1941-03-04,Santiago,Chile,0,Argentina,1,Campeonato Sudamericano 1941
56,1942-01-10,Montevideo,Uruguay,6,Chile,1,Campeonato Sudamericano 1942
57,1942-01-14,Montevideo,Brasil,6,Chile,1,Campeonato Sudamericano 1942
58,1942-01-22,Montevideo,Paraguay,2,Chile,0,Campeonato Sudamericano 1942
59,1942-01-31,Montevideo,Argentina,0,Chile,0,Campeonato Sudamericano 1942
60,1942-02-05,Montevideo,Chile,2,Ecuador,1,Campeonato Sudamericano 1942
61,1942-02-07,Montevideo,Perú,0,Chile,0,Campeonato Sudamericano 1942
62,1945-01-14,Santiago,Chile,6,Ecuador,3,Campeonato Sudamericano 1945
63,1945-01-24,Santiago,Chile,5,Bolivia,0,Campeonato Sudamericano 1945
64,1945-01-31,Santiago,Chile,2,Colombia,0,Campeonato Sudamericano 1945
65,1945-02-11,Santiago,Chile,1,Argentina,1,Campeonato Sudamericano 1945
66,1945-02-18,Santiago,Chile,1,Uruguay,0,Campeonato Sudamericano 1945
67,1945-02-28,Santiago,Chile,0,Brasil,1,Campeonato Sudamericano 1945
68,1946-01-16,Buenos Aires,Uruguay,1,Chile,0,Campeonato Sudamericano 1946
69,1946-01-19,Buenos Aires,Chile,2,Paraguay,1,Campeonato Sudamericano 1946
70,1946-01-26,Buenos Aires,Argentina,3,Chile,1,Campeonato Sudamericano 1946
71,1946-02-03,Buenos Aires,Brasil,5,Chile,1,Campeonato Sudamericano 1946
72,1946-02-08,Buenos Aires,Chile,4,Bolivia,1,Campeonato Sudamericano 1946
73,1947-12-06,Guayaquil,Uruguay,6,Chile,0,Campeonato Sudamericano 1947
74,1947-12-09,Guayaquil,Chile,2,Perú,1,Campeonato Sudamericano 1947
75,1947-12-11,Guayaquil,Ecuador,0,Chile,3,Campeonato Sudamericano 1947
76,1947-12-16,Guayaquil,Argentina,1,Chile,1,Campeonato Sudamericano 1947
77,1947-12-23,Guayaquil,Paraguay,1,Chile,0,Campeonato Sudamericano 1947
78,1947-12-29,Guayaquil,Chile,4,Colombia,1,Campeonato Sudamericano 1947
79,1947-12-31,Guayaquil,Chile,4,Bolivia,3,Campeonato Sudamericano 1947
80,1949-04-06,São Paulo,Bolivia,3,Chile,2,Campeonato Sudamericano 1949
81,1949-04-13,São Paulo,Brasil,2,Chile,1,Campeonato Sudamericano 1949
82,1949-04-17,Río de Janeiro,Chile,1,Ecuador,0,Campeonato Sudamericano 1949
83,1949-04-20,Río de Janeiro,Chile,1,Colombia,1,Campeonato Sudamericano 1949
84,1949-04-27,São Paulo,Paraguay,4,Chile,2,Campeonato Sudamericano 1949
85,1949-04-30,São Paulo,Perú,3,Chile,0,Campeonato Sudamericano 1949
